# PRE-SEED-FIX, ABANDONED. Divergence events from the same pre-fix run as
# notes/gbt_tuning_prefix_ABANDONED.csv -- see that file's header for why.
# All events here are source=eval, round 1-51, from the un-seeded xgboost RNG
# landing in the pathological corner, not a genuine objective/eta corner case.
# DO NOT USE for the paper's divergence disclosure. Kept only as the incident
# record.
max_depth,eta,min_child_weight,subsample,colsample_bytree,fold,round,source,n_grad_floored,n_hess_floored,raw_value
2,0.01,1,0.7,0.7,5,12,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,13,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,14,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,15,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,16,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,17,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,18,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,19,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,20,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,21,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,22,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,23,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,24,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,25,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,26,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,27,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,28,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,29,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,30,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,31,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,32,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,33,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,34,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,35,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,36,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,37,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,38,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,39,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,40,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,41,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,42,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,43,eval,NA,NA,NA
2,0.01,1,0.7,0.7,5,44,eval,NA,NA,NA
